Município,Ano,Produto Interno Bruto a preços correntes (Mil Reais),"Impostos, líquidos de subsídios, sobre produtos a preços correntes (Mil Reais)",Valor adicionado bruto a preços correntes total (Mil Reais),Valor adicionado bruto a preços correntes da agropecuária (Mil Reais),Valor adicionado bruto a preços correntes da indústria (Mil Reais),"Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social (Mil Reais)","Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social (Mil Reais)"
Jequié (BA),2021,3176446,432213,2744233,77838,389260,1649688,627447
Jeremoabo (BA),2021,501339,28041,473298,121184,32896,152485,166732
Jiquiriçá (BA),2021,150341,9001,141340,32231,6905,40697,61506
Jitaúna (BA),2021,175604,8936,166668,45936,9337,48808,62587
João Dourado (BA),2021,297143,25618,271525,52545,20038,99304,99640
Juazeiro (BA),2021,5181529,688351,4493178,377813,666727,2484915,963723
Jucuruçu (BA),2021,127679,3028,124651,65613,3404,18897,36736
Jussara (BA),2021,113638,5366,108272,13277,6934,31478,56584
Jussari (BA),2021,71486,2129,69356,18852,2130,15118,33256
Jussiape (BA),2021,68737,3700,65037,12272,3679,19888,29197
Lafaiete Coutinho (BA),2021,55267,1753,53514,16617,2202,10931,23764
Lagoa Real (BA),2021,119609,7299,112311,14510,5466,31648,60687
Laje (BA),2021,292402,20929,271473,68951,11860,85845,104818
Lajedão (BA),2021,113008,3198,109810,65156,3976,17268,23411
Lajedinho (BA),2021,60886,7628,53258,6527,2374,25806,18550
Lajedo do Tabocal (BA),2021,78352,4738,73614,11827,3867,22937,34984
Lamarão (BA),2021,65028,2027,63001,6625,3553,14372,38450
Lapão (BA),2021,302371,22230,280141,52360,34347,83891,109543
Lauro de Freitas (BA),2021,7322778,1260402,6062376,2470,1170530,3889446,999930
Lençóis (BA),2021,169645,11083,158563,25601,10897,71914,50151
Licínio de Almeida (BA),2021,157521,13342,144180,14738,22753,56780,49909
Livramento de Nossa Senhora (BA),2021,575720,41981,533739,106651,34105,224328,168655
Luís Eduardo Magalhães (BA),2021,8820648,1577806,7242843,1476999,1518975,3830737,416131
Macajuba (BA),2021,90789,3796,86993,10583,4665,25174,46571
Macarani (BA),2021,227125,7764,219361,72214,6794,52295,88058
Macaúbas (BA),2021,431374,23956,407417,33696,27928,155155,190638
Macururé (BA),2021,67535,3088,64447,5810,2638,17816,38183
Madre de Deus (BA),2021,515514,47743,467772,2775,64403,260620,139974
