Município,Ano,Produto Interno Bruto a preços correntes (Mil Reais),"Impostos, líquidos de subsídios, sobre produtos a preços correntes (Mil Reais)",Valor adicionado bruto a preços correntes total (Mil Reais),Valor adicionado bruto a preços correntes da agropecuária (Mil Reais),Valor adicionado bruto a preços correntes da indústria (Mil Reais),"Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social (Mil Reais)","Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social (Mil Reais)"
Alta Floresta D'Oeste (RO),2021,734469,49596,684873,311469,27847,172435,173122
Ariquemes (RO),2021,3209761,420195,2789566,293001,406329,1307930,782306
Cabixi (RO),2021,238412,11193,227219,136659,8115,35865,46579
Cacoal (RO),2021,2792383,384607,2407776,341315,236722,1200630,629109
Cerejeiras (RO),2021,743037,131904,611133,151690,27412,308666,123365
Colorado do Oeste (RO),2021,424807,33011,391796,123524,28794,124598,114881
Corumbiara (RO),2021,396728,16070,380657,260728,14003,45391,60535
Costa Marques (RO),2021,316671,11756,304914,116783,6682,53392,128057
Espigão D'Oeste (RO),2021,773381,77583,695798,202434,54689,221164,217511
Guajará-Mirim (RO),2021,1054179,180691,873488,77442,40473,436338,319235
Jaru (RO),2021,1765089,238102,1526987,280711,177922,688494,379860
Ji-Paraná (RO),2021,4231113,719632,3511482,206345,502877,1926121,876139
Machadinho D'Oeste (RO),2021,890320,52916,837405,352193,34664,174795,275753
Nova Brasilândia D'Oeste (RO),2021,548734,38742,509993,228451,24608,114351,142582
Ouro Preto do Oeste (RO),2021,985868,96926,888942,216209,71160,352557,249016
Pimenta Bueno (RO),2021,1642516,305833,1336683,297492,207603,550809,280779
Porto Velho (RO),2021,20059522,2851398,17208124,1041285,4627968,7555512,3983359
Presidente Médici (RO),2021,559990,51482,508508,183438,50521,140111,134437
Rio Crespo (RO),2021,184430,6198,178233,115354,7565,18756,36557
Rolim de Moura (RO),2021,1565194,181000,1384194,194673,171634,606264,411623
Santa Luzia D'Oeste (RO),2021,213556,8703,204853,106980,13056,33184,51633
Vilhena (RO),2021,4215046,681826,3533220,674880,368863,1712225,777252
São Miguel do Guaporé (RO),2021,905335,65762,839574,381639,82314,199587,176034
Nova Mamoré (RO),2021,742687,32971,709716,344263,21482,129299,214672
Alvorada D'Oeste (RO),2021,352628,15991,336637,147689,11552,72543,104853
Alto Alegre dos Parecis (RO),2021,483672,20513,463159,277664,18507,63694,103294
Alto Paraíso (RO),2021,510361,32335,478027,185477,24048,119552,148951
Buritis (RO),2021,966552,73301,893251,336953,35153,248229,272916
Novo Horizonte do Oeste (RO),2021,231502,11121,220381,106736,12107,40100,61438
Cacaulândia (RO),2021,275338,7656,267682,194610,3288,22240,47544
Campo Novo de Rondônia (RO),2021,369377,10992,358384,204767,16149,32202,105266
Candeias do Jamari (RO),2021,655606,37086,618520,141452,133672,138514,204882
Castanheiras (RO),2021,99627,3220,96407,56909,2351,8867,28281
Chupinguaia (RO),2021,468793,26740,442053,224569,44525,70952,102007
Cujubim (RO),2021,487480,26537,460943,153670,43842,84313,179118
Governador Jorge Teixeira (RO),2021,239330,7567,231763,146346,5056,22483,57878
Itapuã do Oeste (RO),2021,210031,10894,199137,65085,14646,39846,79560
Ministro Andreazza (RO),2021,297878,21615,276263,132934,14078,59932,69320
Mirante da Serra (RO),2021,262640,16870,245771,85084,14260,71352,75075
Monte Negro (RO),2021,389891,20921,368969,153360,23249,76057,116303
Nova União (RO),2021,157321,5823,151498,82596,3240,16675,48987
Parecis (RO),2021,155434,5088,150346,85286,3445,13908,47707
Pimenteiras do Oeste (RO),2021,246209,8203,238005,178073,8909,24664,26359
Primavera de Rondônia (RO),2021,107030,3634,103396,62242,2158,10663,28333
São Felipe D'Oeste (RO),2021,130676,5630,125046,62311,3164,18618,40952
São Francisco do Guaporé (RO),2021,488043,29161,458882,203490,17248,95713,142430
Seringueiras (RO),2021,332987,23425,309562,147309,11109,61163,89980
Teixeirópolis (RO),2021,121301,5024,116277,62959,3836,15259,34222
Theobroma (RO),2021,257426,8535,248891,140069,5751,23488,79582
Urupá (RO),2021,273501,13577,259925,110938,9241,54174,85571
Vale do Anari (RO),2021,220588,8710,211878,93455,6375,27947,84100
Vale do Paraíso (RO),2021,185648,6737,178912,100039,4130,20871,53871
Acrelândia (AC),2021,398725,21128,377597,157858,13439,91389,114911
Assis Brasil (AC),2021,133916,2575,131342,44810,3944,20601,61986
Brasiléia (AC),2021,685636,80025,605611,185724,45440,171335,203112
Bujari (AC),2021,300830,4780,296050,168856,8391,36998,81806
Capixaba (AC),2021,512353,9387,502966,342298,13142,52997,94528
Cruzeiro do Sul (AC),2021,2058630,194006,1864624,100357,167725,900140,696402
Epitaciolândia (AC),2021,644542,70966,573576,160895,22540,246925,143215
Feijó (AC),2021,567040,17689,549351,172858,24431,103190,248872
Jordão (AC),2021,113975,1824,112151,21977,2460,14031,73684
Mâncio Lima (AC),2021,269205,5857,263348,53381,13659,48626,147682
Manoel Urbano (AC),2021,184904,9125,175779,55704,11432,33663,74979
Marechal Thaumaturgo (AC),2021,256865,3441,253424,56419,5964,29458,161583
Plácido de Castro (AC),2021,601471,26769,574701,309366,17444,98405,149486
Porto Walter (AC),2021,160535,2823,157712,25573,4314,22836,104988
Rio Branco (AC),2021,10955675,1507114,9448561,464933,880534,5153657,2949436
Rodrigues Alves (AC),2021,255649,3070,252579,55116,7342,31896,158224
Santa Rosa do Purus (AC),2021,108545,1532,107013,25745,2260,14094,64913
Senador Guiomard (AC),2021,779672,31621,748050,391220,30582,150418,175830
Sena Madureira (AC),2021,748094,25950,722144,209649,36344,153428,322724
Tarauacá (AC),2021,711884,30960,680924,176339,23416,158432,322737
Xapuri (AC),2021,454981,20773,434208,199221,23433,69331,142223
Porto Acre (AC),2021,471315,7299,464016,259571,13578,50907,139960
Alvarães (AM),2021,217333,4045,213287,66407,10232,32276,104372
Amaturá (AM),2021,118872,2837,116035,13548,5177,19564,77746
Anamã (AM),2021,138599,2911,135689,36624,6641,20014,72410
Anori (AM),2021,248435,6134,242301,83155,10307,33233,115607
Apuí (AM),2021,297810,15045,282765,84456,24728,59992,113589
Atalaia do Norte (AM),2021,184947,4354,180594,26576,5316,25013,123689
Autazes (AM),2021,506341,21871,484469,118724,31985,95443,238317
Barcelos (AM),2021,245622,6482,239140,31862,19069,41809,146400
Barreirinha (AM),2021,344890,10505,334384,52171,16600,57523,208090
Benjamin Constant (AM),2021,388781,12082,376698,36799,24291,64580,251028
Beruri (AM),2021,211871,7212,204659,26467,10112,38303,129777
Boa Vista do Ramos (AM),2021,182412,4124,178288,25810,9165,30379,112933
Boca do Acre (AM),2021,512796,32976,479820,121255,53417,115369,189778
Borba (AM),2021,402131,14952,387178,52628,19865,74601,240084
Caapiranga (AM),2021,177894,3788,174106,52504,8137,26900,86565
Canutama (AM),2021,154316,4333,149983,23312,6976,26297,93398
Carauari (AM),2021,370657,16828,353829,98427,23989,80007,151406
Careiro (AM),2021,395194,15652,379542,60821,35814,70459,212448
Careiro da Várzea (AM),2021,413374,5538,407836,193978,15110,35050,163698
Coari (AM),2021,3380278,113867,3266411,113910,2000960,615214,536328
Codajás (AM),2021,531995,9056,522939,299133,18840,49138,155828
Eirunepé (AM),2021,568039,15566,552473,248976,20731,77827,204939
Envira (AM),2021,215527,7013,208513,45372,9556,38934,114651
Fonte Boa (AM),2021,222773,8401,214373,28885,14195,44172,127121
Guajará (AM),2021,177320,4168,173153,31779,7128,29220,105025
Humaitá (AM),2021,860168,60860,799307,183793,77643,254811,283061
Ipixuna (AM),2021,216519,6084,210435,16713,7758,32395,153569
Iranduba (AM),2021,1001862,58303,943559,303362,123196,211279,305723
Itacoatiara (AM),2021,2350463,199990,2150473,465661,182494,926007,576311
Itamarati (AM),2021,135620,3862,131757,42944,6481,23317,59016
Itapiranga (AM),2021,152509,7192,145317,40382,9291,31591,64054
Japurá (AM),2021,85809,3937,81871,16663,6036,21850,37323
Juruá (AM),2021,138074,4096,133978,21456,6747,20685,85089
Jutaí (AM),2021,266377,7910,258467,77531,14842,52066,114027
Lábrea (AM),2021,625199,24174,601025,234934,25787,106797,233508
Manacapuru (AM),2021,1544675,71649,1473026,409121,142289,368854,552761
Manaquiri (AM),2021,311335,6974,304361,93213,14926,33242,162980
Manaus (AM),2021,103281436,21017364,82264072,201067,37697009,33086599,11279398
Manicoré (AM),2021,686279,29089,657190,184244,41056,128373,303518
Maraã (AM),2021,176217,4529,171688,18701,7817,25730,119439
Maués (AM),2021,595827,27743,568084,67607,36746,119688,344043
Nhamundá (AM),2021,207005,8477,198529,27468,9860,41754,119447
Nova Olinda do Norte (AM),2021,341652,15792,325861,39757,20971,57933,207200
Novo Airão (AM),2021,186533,7029,179505,8945,12583,40621,117357
Novo Aripuanã (AM),2021,252422,7870,244551,56186,15549,39474,133342
Parintins (AM),2021,1426984,91015,1335969,290479,92451,358507,594533
Pauini (AM),2021,199541,5505,194036,37032,7531,32920,116553
Presidente Figueiredo (AM),2021,1031905,43096,988809,95259,433687,193115,266748
Rio Preto da Eva (AM),2021,407146,26303,380842,87222,40821,77029,175770
Santa Isabel do Rio Negro (AM),2021,185817,5139,180678,17853,6116,25474,131235
Santo Antônio do Içá (AM),2021,237314,11310,226004,26918,12934,46551,139600
São Gabriel da Cachoeira (AM),2021,423054,20004,403050,25902,25536,92871,258741
São Paulo de Olivença (AM),2021,334131,8149,325982,36480,13703,50083,225717
São Sebastião do Uatumã (AM),2021,136609,4248,132361,20958,6871,24321,80211
Silves (AM),2021,175042,8448,166594,58572,20700,23226,64096
Tabatinga (AM),2021,758036,63298,694738,20271,50521,227286,396660
Tapauá (AM),2021,239944,7538,232406,59592,11911,40964,119939
Tefé (AM),2021,1098392,46928,1051465,191608,227130,249041,383685
Tonantins (AM),2021,185410,5942,179469,13062,7589,33007,125811
Uarini (AM),2021,229209,8745,220464,81996,10923,39394,88152
Urucará (AM),2021,205656,7057,198599,51040,10449,37696,99414
Urucurituba (AM),2021,232661,8404,224257,34164,12699,43384,134010
Amajari (RR),2021,240826,3030,237796,62983,10213,21938,142661
Alto Alegre (RR),2021,385507,7047,378460,146585,14739,49570,167566
Boa Vista (RR),2021,13493364,1578429,11914935,190928,1306705,5625759,4791543
Bonfim (RR),2021,522405,8386,514019,274520,22091,70215,147193
Cantá (RR),2021,353071,30646,322425,58180,19723,38823,205700
Caracaraí (RR),2021,453298,19832,433466,68071,22712,89620,253062
Caroebe (RR),2021,236788,6220,230568,73570,6607,33952,116439
Iracema (RR),2021,208477,4097,204380,38618,5929,24505,135327
Mucajaí (RR),2021,393852,22914,370938,70846,19885,81159,199048
Normandia (RR),2021,202859,3107,199753,39996,6997,21175,131585
Pacaraima (RR),2021,329092,23213,305879,10378,12128,60785,222588
Rorainópolis (RR),2021,732356,71567,660789,104178,42449,161711,352449
São João da Baliza (RR),2021,327768,102144,225624,43138,36302,51109,95076
São Luiz (RR),2021,178972,10199,168773,43740,7046,25916,92071
Uiramutã (RR),2021,143945,2050,141895,8657,2202,12598,118438
Abaetetuba (PA),2021,1949341,178723,1770618,272103,73667,754254,670593
Abel Figueiredo (PA),2021,105496,7857,97639,27211,9397,24595,36435
Acará (PA),2021,1433440,26423,1407017,904959,58507,130361,313189
Afuá (PA),2021,444236,12097,432139,174162,20325,46218,191434
Água Azul do Norte (PA),2021,643132,92107,551025,239536,123818,63741,123931
Alenquer (PA),2021,745403,24778,720625,302185,24543,135317,258580
Almeirim (PA),2021,688370,66886,621484,88297,217317,118135,197734
Altamira (PA),2021,3120219,339056,2781163,429744,443335,1337699,570385
Anajás (PA),2021,259020,14631,244389,38552,7924,38004,159909
Ananindeua (PA),2021,8939830,1377318,7562512,13285,1035394,4679663,1834169
Anapu (PA),2021,588032,42831,545201,235104,22743,140292,147062
Augusto Corrêa (PA),2021,363771,11879,351892,67396,12567,56589,215341
Aurora do Pará (PA),2021,308633,10998,297635,88250,9620,47445,152320
Aveiro (PA),2021,151969,2899,149071,49842,8062,12942,78224
Bagre (PA),2021,250548,4255,246293,85696,6409,23148,131040
Baião (PA),2021,562147,10219,551928,265131,15629,63250,207917
Bannach (PA),2021,129007,2971,126037,90753,1601,10298,23385
Barcarena (PA),2021,9243937,2276327,6967610,181646,4694504,1468421,623039
Belém (PA),2021,33467126,6341813,27125314,99129,3545283,17761261,5719640
Belterra (PA),2021,237196,9458,227738,86223,10165,40851,90499
Benevides (PA),2021,1986729,466965,1519764,12266,438136,793987,275375
Bom Jesus do Tocantins (PA),2021,243883,11563,232320,90328,7013,48057,86922
Bonito (PA),2021,206682,35954,170728,27274,53348,25644,64461
Bragança (PA),2021,1389573,112283,1277290,185795,72633,465302,553560
Brasil Novo (PA),2021,379813,29155,350658,161865,16473,90065,82254
Brejo Grande do Araguaia (PA),2021,115088,5600,109489,44232,3061,22082,40113
Breu Branco (PA),2021,794309,78564,715744,127550,159464,149788,278942
Breves (PA),2021,893933,59797,834137,59887,32582,230788,510880
Bujaru (PA),2021,536730,9729,527001,325587,21023,52274,128116
Cachoeira do Piriá (PA),2021,227634,5616,222018,43547,6337,28308,143827
Cachoeira do Arari (PA),2021,255830,9305,246525,94533,7756,36128,108108
Cametá (PA),2021,1393690,57632,1336058,428678,40134,271171,596075
Canaã dos Carajás (PA),2021,34989610,525207,34464403,111001,30877742,3066395,409265
Capanema (PA),2021,1427144,205822,1221322,144331,131429,669848,275714
Capitão Poço (PA),2021,615773,41935,573838,131840,35357,169241,237401
Castanhal (PA),2021,4709312,838134,3871178,140846,642824,2195383,892125
Chaves (PA),2021,248270,2298,245973,111397,3203,14037,117335
Colares (PA),2021,100969,2562,98407,20699,2835,16851,58021
Conceição do Araguaia (PA),2021,662825,55640,607185,143289,30254,232473,201168
Concórdia do Pará (PA),2021,420236,28398,391838,110682,17569,93597,169991
Cumaru do Norte (PA),2021,406927,14913,392014,267034,7685,52203,65093
Curionópolis (PA),2021,3667341,49045,3618295,108750,3061790,337598,110158
Curralinho (PA),2021,282512,6357,276156,56014,6530,34818,178793
Curuá (PA),2021,149717,3695,146022,45805,3550,20929,75738
Curuçá (PA),2021,369777,14278,355499,103441,13687,60212,178159
Dom Eliseu (PA),2021,940611,96526,844085,233612,49662,303092,257719
Eldorado do Carajás (PA),2021,556042,48646,507396,156254,48345,139685,163112
Faro (PA),2021,76730,3404,73326,6823,2844,17200,46459
Floresta do Araguaia (PA),2021,602623,30930,571693,260687,116728,95088,99190
Garrafão do Norte (PA),2021,276033,11449,264584,75425,9991,49008,130160
Goianésia do Pará (PA),2021,506638,31028,475610,168149,16662,107079,183720
Gurupá (PA),2021,334287,8275,326012,79023,8427,45323,193239
Igarapé-Açu (PA),2021,415894,34283,381611,82651,30206,108508,160246
Igarapé-Miri (PA),2021,691233,40520,650713,188507,38043,126218,297945
Inhangapi (PA),2021,174628,12260,162369,76519,19361,16987,49501
Ipixuna do Pará (PA),2021,625213,33333,591880,83540,139061,89508,279771
Irituia (PA),2021,278006,10984,267022,60721,11029,53707,141564
Itaituba (PA),2021,3078558,355131,2723427,166186,753401,1316595,487246
Itupiranga (PA),2021,841956,34109,807847,396489,27777,143845,239736
Jacareacanga (PA),2021,625760,17013,608747,63184,290797,71739,183026
Jacundá (PA),2021,615695,54947,560748,68475,29735,211319,251218
Juruti (PA),2021,1451756,67943,1383813,290459,467215,303356,322782
Limoeiro do Ajuru (PA),2021,503051,4764,498287,331383,5534,24270,137099
Mãe do Rio (PA),2021,340311,27609,312702,31862,13178,121808,145854
Magalhães Barata (PA),2021,98432,2250,96182,36893,2916,13292,43081
Marabá (PA),2021,13523145,1480128,12043017,608869,6619846,3400749,1413553
Maracanã (PA),2021,289997,8148,281849,74589,9676,44500,153084
Marapanim (PA),2021,263657,8069,255588,52541,8467,53660,140920
Marituba (PA),2021,2578541,456080,2122461,2145,218180,1286912,615224
Medicilândia (PA),2021,1023972,47139,976833,626710,40576,165177,144370
Melgaço (PA),2021,216855,4339,212516,31533,6086,22304,152593
Mocajuba (PA),2021,452082,13468,438614,184798,15087,61227,177502
Moju (PA),2021,1348481,104619,1243862,501317,105210,248731,388605
Mojuí dos Campos (PA),2021,288644,11728,276916,123924,16994,47714,88284
Monte Alegre (PA),2021,807340,37772,769568,295334,33816,167588,272831
Muaná (PA),2021,338764,8154,330610,102947,9212,41364,177087
Nova Esperança do Piriá (PA),2021,350842,10318,340523,179895,11856,47033,101739
Nova Ipixuna (PA),2021,192605,10073,182533,59161,7798,35571,80003
Nova Timboteua (PA),2021,147491,9268,138223,28335,5209,36231,68447
Novo Progresso (PA),2021,971539,133054,838485,232428,92457,367125,146476
Novo Repartimento (PA),2021,1117034,73856,1043178,399142,26054,253633,364349
Óbidos (PA),2021,965930,36196,929734,426321,106455,148005,248952
Oeiras do Pará (PA),2021,419077,7867,411210,192353,9164,42141,167553
Oriximiná (PA),2021,2278575,127433,2151142,312023,949673,477469,411977
Ourém (PA),2021,200629,10266,190362,59918,16481,40563,73399
Ourilândia do Norte (PA),2021,1302429,234253,1068176,95172,574426,230580,167998
Pacajá (PA),2021,867605,43953,823652,413225,28158,149731,232538
Palestina do Pará (PA),2021,98769,3444,95325,40875,2331,14846,37273
Paragominas (PA),2021,4280508,423694,3856815,433733,1596137,1267572,559373
Parauapebas (PA),2021,49763040,1406360,48356680,238183,40659674,5656072,1802752
Pau D'Arco (PA),2021,114870,3290,111580,56578,3676,14937,36389
Peixe-Boi (PA),2021,72327,2261,70066,19300,2304,11434,37029
Piçarra (PA),2021,292755,11991,280764,166605,12306,33534,68319
Placas (PA),2021,323263,13978,309285,111623,9844,50909,136909
Ponta de Pedras (PA),2021,275230,9956,265274,69027,6216,46424,143607
Portel (PA),2021,945733,22969,922764,466733,34412,102628,318991
Porto de Moz (PA),2021,404677,13999,390677,104945,10797,61399,213536
Prainha (PA),2021,442969,8948,434021,219178,14027,47592,153224
Primavera (PA),2021,321726,63371,258355,5222,162586,33625,56922
Quatipuru (PA),2021,120882,3012,117870,37132,3066,16690,60981
Redenção (PA),2021,2552479,418240,2134239,200284,302593,1238361,393000
Rio Maria (PA),2021,601872,90173,511699,163335,122414,135016,90934
Rondon do Pará (PA),2021,734050,63277,670773,176745,41617,221511,230901
Rurópolis (PA),2021,496837,32946,463891,90008,66000,105360,202523
Salinópolis (PA),2021,641901,74258,567643,21408,58837,301419,185979
Salvaterra (PA),2021,210371,8367,202004,36073,9154,46037,110740
Santa Bárbara do Pará (PA),2021,240524,27002,213522,12848,55647,44691,100335
Santa Cruz do Arari (PA),2021,96043,1314,94728,37430,1680,8709,46909
Santa Izabel do Pará (PA),2021,935129,120788,814341,117822,69326,328967,298226
Santa Luzia do Pará (PA),2021,196168,8557,187611,41040,5778,39843,100950
Santa Maria das Barreiras (PA),2021,1072244,39694,1032550,337616,442886,147369,104680
Santa Maria do Pará (PA),2021,371642,29265,342377,105235,27653,106131,103358
Santana do Araguaia (PA),2021,1381972,178248,1203723,379315,141653,390630,292125
Santarém (PA),2021,6390528,866964,5523564,442113,563907,3180360,1337184
Santarém Novo (PA),2021,60065,1478,58587,11705,1987,8038,36857
Santo Antônio do Tauá (PA),2021,475569,36803,438766,160572,55001,75802,147391
São Caetano de Odivelas (PA),2021,183191,5340,177852,58503,5440,28955,84954
São Domingos do Araguaia (PA),2021,359021,22485,336536,107269,13817,90944,124505
São Domingos do Capim (PA),2021,438410,9628,428782,204221,14424,50738,159399
São Félix do Xingu (PA),2021,2009122,120383,1888739,879584,186708,327949,494498
São Francisco do Pará (PA),2021,264374,14853,249520,108779,11984,52650,76108
São Geraldo do Araguaia (PA),2021,710684,103515,607170,175716,155057,146086,130311
São João da Ponta (PA),2021,57407,1644,55763,16516,1731,6169,31347
São João de Pirabas (PA),2021,182168,7487,174680,31753,6670,33057,103200
São João do Araguaia (PA),2021,186890,9056,177835,70258,10510,24535,72533
São Miguel do Guamá (PA),2021,793139,51282,741857,248069,47210,173875,272702
São Sebastião da Boa Vista (PA),2021,245028,6588,238440,66736,5524,32727,133453
Sapucaia (PA),2021,141176,10226,130951,56541,6983,27635,39792
Senador José Porfírio (PA),2021,246281,9046,237236,105173,9726,45597,76740
Soure (PA),2021,241803,11017,230786,53588,7360,55139,114699
Tailândia (PA),2021,1291722,170331,1121391,154774,178261,366232,422124
Terra Alta (PA),2021,83046,2391,80655,8621,2699,14744,54591
Terra Santa (PA),2021,519541,13200,506341,25488,303399,76049,101404
Tomé-Açu (PA),2021,1040635,105616,935019,224587,109071,265620,335742
Tracuateua (PA),2021,285330,6939,278391,82240,18505,35325,142322
Trairão (PA),2021,327523,31837,295686,96835,12841,100088,85923
Tucumã (PA),2021,984423,144816,839608,177158,129980,355212,177257
Tucuruí (PA),2021,5614501,153508,5460994,73737,4178636,617834,590787
Ulianópolis (PA),2021,1995884,55298,1940586,1376072,142737,181271,240506
Uruará (PA),2021,774530,51696,722834,281380,35214,191359,214881
Vigia (PA),2021,476787,30562,446225,97151,15396,127923,205755
Viseu (PA),2021,618568,16794,601774,225759,19900,79244,276872
Vitória do Xingu (PA),2021,4230778,32028,4198749,107918,3865940,84357,140535
Xinguara (PA),2021,1605020,299963,1305057,184086,316879,560861,243231
Serra do Navio (AP),2021,92155,3213,88941,3926,4404,15666,64945
Amapá (AP),2021,159543,3979,155564,28583,4596,26866,95519
Pedra Branca do Amapari (AP),2021,453324,55351,397973,7111,142197,55795,192870
Calçoene (AP),2021,184496,7926,176570,16007,9920,37939,112703
Cutias (AP),2021,94625,1537,93088,22729,1930,8335,60094
Ferreira Gomes (AP),2021,578381,6194,572187,3229,439549,28037,101372
Itaubal (AP),2021,87891,2208,85683,11716,2496,9179,62292
Laranjal do Jari (AP),2021,1134587,32693,1101894,13271,366775,196686,525162
Macapá (AP),2021,12938060,1191765,11746295,71440,1068727,5643418,4962711
Mazagão (AP),2021,377734,21013,356721,27651,35178,58144,235749
Oiapoque (AP),2021,528919,32679,496240,18065,27980,150929,299265
Porto Grande (AP),2021,373966,15330,358636,33768,21173,68879,234816
Pracuúba (AP),2021,84589,1353,83235,18978,1758,6833,55666
Santana (AP),2021,2512717,205165,2307552,19031,217405,847525,1223592
Tartarugalzinho (AP),2021,261938,4711,257227,44487,5556,27458,179725
Vitória do Jari (AP),2021,236925,9286,227639,6369,15956,33399,171916
Abreulândia (TO),2021,112135,1852,110282,74730,2743,9665,23145
Aguiarnópolis (TO),2021,165480,29156,136324,17292,21956,45844,51231
Aliança do Tocantins (TO),2021,616571,21770,594801,472909,6296,72123,43473
Almas (TO),2021,273741,6676,267065,183498,6912,24691,51963
Alvorada (TO),2021,474111,67860,406251,152194,42885,146123,65048
Ananás (TO),2021,159769,8938,150831,42527,4488,34258,69558
Angico (TO),2021,48276,1328,46949,10234,1661,6296,28758
Aparecida do Rio Negro (TO),2021,255912,8265,247648,161633,6608,38178,41229
Aragominas (TO),2021,98441,1797,96644,43334,1784,8618,42908
Araguacema (TO),2021,240246,5415,234831,148350,6923,24595,54963
Araguaçu (TO),2021,349050,12303,336747,200286,8542,63020,64899
Araguaína (TO),2021,5239050,723122,4515928,112274,521090,2540744,1341819
Araguanã (TO),2021,101858,2356,99502,39949,3245,10891,45417
Araguatins (TO),2021,529290,30720,498570,97870,19065,137431,244204
Arapoema (TO),2021,324523,7285,317238,60824,170127,37392,48895
Arraias (TO),2021,223310,9962,213348,82975,8818,44556,76999
Augustinópolis (TO),2021,305118,24664,280455,27450,18659,103437,130909
Aurora do Tocantins (TO),2021,58806,2011,56795,19176,1855,7364,28400
Axixá do Tocantins (TO),2021,141092,6665,134427,21290,3740,28201,81195
Babaçulândia (TO),2021,158741,3876,154866,57534,5336,16247,75749
Bandeirantes do Tocantins (TO),2021,178654,5509,173144,52114,70648,19091,31291
Barra do Ouro (TO),2021,113260,2438,110822,60887,2691,11367,35876
Barrolândia (TO),2021,122016,10116,111901,32502,5680,29420,44299
Bernardo Sayão (TO),2021,102684,6073,96611,42800,3135,14185,36491
Bom Jesus do Tocantins (TO),2021,139410,2118,137292,83369,3909,11814,38199
Brasilândia do Tocantins (TO),2021,75634,11159,64476,13936,1408,28037,21095
Brejinho de Nazaré (TO),2021,272945,6470,266475,195158,5251,21840,44226
Buriti do Tocantins (TO),2021,161641,5963,155678,44530,5812,22966,82370
Cachoeirinha (TO),2021,58547,1206,57341,28901,1339,5963,21138
Campos Lindos (TO),2021,1004931,33930,971000,706472,22035,161822,80671
Cariri do Tocantins (TO),2021,517715,117940,399775,102971,84143,169031,43630
Carmolândia (TO),2021,69222,1897,67326,30368,1516,8688,26754
Carrasco Bonito (TO),2021,50561,1026,49535,9490,1682,5849,32513
Caseara (TO),2021,389493,9679,379813,284574,8940,41881,44418
Centenário (TO),2021,64557,1713,62844,30023,1230,6878,24714
Chapada de Areia (TO),2021,39824,819,39005,19794,1208,3830,14173
Chapada da Natividade (TO),2021,148973,3679,145294,83513,18831,14542,28409
Colinas do Tocantins (TO),2021,862139,96332,765807,92361,78660,333011,261775
Combinado (TO),2021,76524,6389,70136,11156,3497,19784,35698
Conceição do Tocantins (TO),2021,67829,4341,63488,15023,1523,13974,32968
Couto Magalhães (TO),2021,203473,16558,186915,87040,8371,46207,45298
Cristalândia (TO),2021,177294,7436,169857,80891,8647,26305,54015
Crixás do Tocantins (TO),2021,78645,2331,76314,47272,1744,8560,18737
Darcinópolis (TO),2021,241932,17636,224296,126582,6075,44822,46817
Dianópolis (TO),2021,644829,38812,606018,237538,42751,167648,158081
Divinópolis do Tocantins (TO),2021,249235,11296,237940,134264,10506,37340,55830
Dois Irmãos do Tocantins (TO),2021,216149,22581,193568,95410,21870,26718,49571
Dueré (TO),2021,204765,7172,197593,130341,6427,22135,38690
Esperantina (TO),2021,118724,2771,115953,18028,4790,14135,79000
Fátima (TO),2021,89100,8258,80842,24583,3427,23418,29414
Figueirópolis (TO),2021,256752,19186,237566,123292,6809,68444,39021
Filadélfia (TO),2021,129323,3109,126214,41004,4383,19269,61559
Formoso do Araguaia (TO),2021,1414038,36106,1377933,1071674,41146,126615,138498
Tabocão (TO),2021,232898,41729,191169,54094,5847,101553,29675
Goianorte (TO),2021,193502,6066,187436,90653,33541,24057,39185
Goiatins (TO),2021,230924,6445,224479,95969,6681,26494,95336
Guaraí (TO),2021,880403,96271,784132,146991,38560,410569,188012
Gurupi (TO),2021,2648420,358752,2289669,135884,207473,1239004,707307
Ipueiras (TO),2021,47772,891,46880,20271,1536,4796,20278
Itacajá (TO),2021,186260,7636,178624,91064,3966,26480,57114
Itaguatins (TO),2021,82611,1928,80683,22952,2905,9790,45036
Itapiratins (TO),2021,171522,3418,168104,117489,3829,15556,31230
Itaporã do Tocantins (TO),2021,69980,3000,66980,37274,1269,6744,21693
Jaú do Tocantins (TO),2021,97865,4138,93727,46737,2379,11778,32832
Juarina (TO),2021,44395,1417,42978,15719,1026,6187,20047
Lagoa da Confusão (TO),2021,998445,76440,922005,507608,48546,259865,105985
Lagoa do Tocantins (TO),2021,89429,2078,87351,42219,1450,8511,35171
Lajeado (TO),2021,64405,3700,60705,4020,5146,14247,37291
Lavandeira (TO),2021,37870,776,37094,14773,1063,3722,17536
Lizarda (TO),2021,66332,1389,64942,29042,1793,6447,27660
Luzinópolis (TO),2021,71180,4324,66856,26177,1327,12742,26608
Marianópolis do Tocantins (TO),2021,252331,9522,242808,159191,8165,32868,42585
Mateiros (TO),2021,252360,4170,248190,192768,6237,23043,26142
Maurilândia do Tocantins (TO),2021,55911,1558,54352,14513,1106,7221,31513
Miracema do Tocantins (TO),2021,642003,26843,615160,189527,194581,100675,130377
Miranorte (TO),2021,390325,39884,350441,111836,18110,123760,96735
Monte do Carmo (TO),2021,296288,6531,289757,205037,7489,21059,56172
