Município;Ano;Produto Interno Bruto a preços correntes (Mil Reais);"Impostos, líquidos de subsídios, sobre produtos a preços correntes (Mil Reais)";Valor adicionado bruto a preços correntes total (Mil Reais);Valor adicionado bruto a preços correntes da agropecuária (Mil Reais);Valor adicionado bruto a preços correntes da indústria (Mil Reais);"Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social (Mil Reais)";"Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social (Mil Reais)";Estado
Alta Floresta D'Oeste,2021,734469,49596,684873,311469,27847,172435,173122,RO
Ariquemes,2021,3209761,420195,2789566,293001,406329,1307930,782306,RO
Cabixi,2021,238412,11193,227219,136659,8115,35865,46579,RO
Cacoal,2021,2792383,384607,2407776,341315,236722,1200630,629109,RO
Cerejeiras,2021,743037,131904,611133,151690,27412,308666,123365,RO
Colorado do Oeste,2021,424807,33011,391796,123524,28794,124598,114881,RO
Corumbiara,2021,396728,16070,380657,260728,14003,45391,60535,RO
Costa Marques,2021,316671,11756,304914,116783,6682,53392,128057,RO
Espigão D'Oeste,2021,773381,77583,695798,202434,54689,221164,217511,RO
Guajará-Mirim,2021,1054179,180691,873488,77442,40473,436338,319235,RO
Jaru,2021,1765089,238102,1526987,280711,177922,688494,379860,RO
Ji-Paraná,2021,4231113,719632,3511482,206345,502877,1926121,876139,RO
Machadinho D'Oeste,2021,890320,52916,837405,352193,34664,174795,275753,RO
Nova Brasilândia D'Oeste,2021,548734,38742,509993,228451,24608,114351,142582,RO
Ouro Preto do Oeste,2021,985868,96926,888942,216209,71160,352557,249016,RO
Pimenta Bueno,2021,1642516,305833,1336683,297492,207603,550809,280779,RO
Porto Velho,2021,20059522,2851398,17208124,1041285,4627968,7555512,3983359,RO
Presidente Médici,2021,559990,51482,508508,183438,50521,140111,134437,RO
Rio Crespo,2021,184430,6198,178233,115354,7565,18756,36557,RO
Rolim de Moura,2021,1565194,181000,1384194,194673,171634,606264,411623,RO
Santa Luzia D'Oeste,2021,213556,8703,204853,106980,13056,33184,51633,RO
Vilhena,2021,4215046,681826,3533220,674880,368863,1712225,777252,RO
São Miguel do Guaporé,2021,905335,65762,839574,381639,82314,199587,176034,RO
Nova Mamoré,2021,742687,32971,709716,344263,21482,129299,214672,RO
Alvorada D'Oeste,2021,352628,15991,336637,147689,11552,72543,104853,RO
Alto Alegre dos Parecis,2021,483672,20513,463159,277664,18507,63694,103294,RO
Alto Paraíso,2021,510361,32335,478027,185477,24048,119552,148951,RO
Buritis,2021,966552,73301,893251,336953,35153,248229,272916,RO
Novo Horizonte do Oeste,2021,231502,11121,220381,106736,12107,40100,61438,RO
